con-par,,rand-par,,cont-min,,rand-min,
baseline,workload2,baseline,workload2,baseline,workload2,baseline,workload2
8651.809336,8622.327288,26257.58191,24997.65122,9804.875017,9804.875017,17122.45388,17303.0629
8021.554212,8012.688496,21149.87616,20225.74075,8632.55504,8632.55504,15936.62041,15286.09762
7174.78165,7134.817,19942.25176,20034.78726,8427.149371,8427.149371,14679.98915,14728.95582
15806.63799,15883.41711,22088.70003,21314.64035,45516.90142,45516.90142,16632.33864,17476.80665
12183.19203,12100.04381,22993.94655,21946.73854,34462.90052,34462.90052,14505.48452,14904.73709
8594.816154,8671.264329,21450.94011,21437.63443,24172.8376,24172.8376,17815.08752,18175.46124
10195.49255,10313.47585,20465.58791,20680.49283,29760.73982,29760.73982,18710.87528,18966.10533
10101.19905,10029.7545,20206.75247,19476.30672,29391.57857,29391.57857,14057.128,14893.86775
10370.06928,10380.63482,20202.35102,20599.2573,43373.19323,43373.19323,13284.65158,13428.38739
9947.569473,9959.208282,20355.63577,20101.51415,43830.60204,43830.60204,12506.97505,13270.83318
9933.309783,9955.006497,20027.83138,21240.11612,36122.08864,36122.08864,13903.91339,14762.21909
9342.490497,9384.075138,16952.08111,16559.8454,38212.89194,38212.89194,14070.24542,14865.35383
9005.555568,9052.786683,16548.9052,16302.40518,38745.82808,38745.82808,11230.9137,11380.42446
10825.31855,10869.11462,16952.99333,17546.48987,45964.66039,45964.6604,17565.49382,16553.58671
