con-par,,rand-par,,cont-min,,rand-min,
baseline,workload1,baseline,workload1,baseline,workload1,baseline,workload1
335917606.7,336544567.6,218244751.5,243759230.9,992520605.2,992520605.2,485831535.1,550930372.4
335915371.3,336548626.2,218253280.3,243671898.7,992523261.8,992523261.8,485834684.2,550871174.5
335922376.5,336546727.7,218239483.9,243762823.5,992522431.7,992522431.7,485828835.8,550977712.6
335916660.2,336548132.4,218244950.8,243666967.3,992524174.6,992524174.6,485833472.2,550927957.4
335917777.2,336546394.6,218244372.1,243760591.4,992520603.5,992520603.5,485826517.4,550929994.2
335917113.1,336547056.2,218246605.3,243667794.5,992523260.2,992523260.2,485833473.6,550869963.9
335919281.3,336545073.8,218243460.5,243668131.6,992521943,992521943,485831982.1,550926466.7
335917792.7,336542167.5,218248924.5,243667542.9,992524176.4,992524176.4,485830328.4,550866818.7
335919010.5,336543248.1,218236337.2,243758850.3,992519197.2,992519197.2,485825755.6,550929992.1
335919431.9,336541172.9,218247518.3,243756531.6,992521029,992521029,485829663.7,550933140.5
335921172.7,336541926.5,218239483.5,243755704,992518458.5,992518458.5,485828009.7,550933138.3
335918026.3,336543330.5,218249007.9,243752557,992519120,992519120,485830326.9,550929993.3
335924321.3,336538936.8,218241605.5,243763204.2,992523758.9,992523758.9,485833917.8,550939810.7
335921257.8,336541167,218248180.9,243759678,992524334.4,992524334.4,485830326.3,550929165.2
335922427.8,336537448.5,218243010.8,243760059.2,992529641.6,992529641.6,485832429.8,550935837.4
335919196.8,336541419.2,218236913.2,243756532.5,992530218.9,992530218.9,485830076.3,550931397.1
335922328.1,336539102.2,218245777.4,243666137.1,992524837.5,992524837.5,485833473.4,550869963.7
335923575.8,336541418,218236337.6,243759677.1,992525751.1,992525751.1,485825689.5,550974566.2
335926185.2,336540316.1,218235508.2,243757937.5,992528725.3,992528725.3,485828671.3,550929992.1
335924695.4,336542668.7,218244752.1,243760057.2,992528813.4,992528813.4,485832428.5,550936666.5
335920671.9,336539187.2,218240312.4,243756531.6,992524010.7,992524010.7,485823373.4,550970592.5
335925148,336544073,218243459.9,243665476.4,992524674.2,992524674.2,485831981.3,550926466.5
335925231.7,336539524.4,218236340.6,243662838.4,992527407,992527407,485829499.4,550925639.4
335922915.4,336538273.3,218244285.8,243662821,992527987.1,992527987.1,485825690.2,550862180.5
335927130.3,336535213.3,218249390.2,243765524.6,992521776.6,992521776.6,485831601.8,550935011.1
335923983.2,336539273.3,218248478.7,243668838.3,992521525.4,992521525.4,485836237.6,550872727.9
335925809.1,336537999.3,218243460.7,243669958.5,992524750.9,992524750.9,485832810.2,550932759.5
335922663.4,336536953.8,218243461.7,243664565.4,992523672.3,992523672.3,485826520.2,550926468.4
335921172.4,336544651.7,218253279.8,243673639.5,992522670.8,992522670.8,485836338.3,550929994.1
335915372.5,336546883.1,218245861.4,243755703.4,992526155.2,992526155.2,485828900.9,550926846.8
335921935.8,336541506.3,218243837.8,243760057.5,992526495.1,992526495.1,485826898.8,550974946.4
335921273.4,336546307.4,218243460.9,243664564.9,992528473.8,992528473.8,485829498.3,550926467.8
335923406.7,336543246,218239483.3,243761169.2,992523750.7,992523750.7,485828009.5,550926846
335918518.6,336548047.5,218245862.5,243761996.2,992526408.2,992526408.2,485828007.9,550926846.8
335923038.4,336543582,218248179.9,243761419.1,992525578.5,992525578.5,485829497.6,550923700.1
335920720.9,336544073.8,218244750.7,243665028.5,992527321.3,992527321.3,485836236.4,550872726.7
335922579.3,336540591.9,218253318.9,243758850.2,992523749.6,992523749.6,485835705.3,550929992.7
